98,Oregon State,Pac-12 (North),1,11,.083,0,9,.000,20.7,43.0,-12.41,4.42,,,,
99,USC,Pac-12 (South),11,2,.846,9,1,.900,34.5,26.3,14.06,4.91,11,4,4,
100,Arizona State,Pac-12 (South),7,5,.583,6,3,.667,31.9,31.3,5.77,3.94,,,,
101,Arizona,Pac-12 (South),7,5,.583,5,4,.556,41.8,34.1,4.33,-0.76,,,23,
102,UCLA,Pac-12 (South),6,6,.500,4,5,.444,33.8,36.8,2.68,5.26,,,25,
103,Utah,Pac-12 (South),6,6,.500,3,6,.333,29.5,23.9,4.97,2.14,,,20,
104,Colorado,Pac-12 (South),5,7,.417,2,7,.222,26.4,28.2,-1.54,0.71,,,,
105,Georgia,SEC (East),12,1,.923,8,1,.889,34.9,13.2,22.75,4.90,7,15,2,
106,South Carolina,SEC (East),8,4,.667,5,3,.625,24.1,20.8,6.70,3.03,,,,
107,Kentucky,SEC (East),7,5,.583,4,4,.500,25.8,28.6,1.25,2.42,,,,
108,Missouri,SEC (East),7,5,.583,4,4,.500,39.3,31.8,5.39,0.89,,,,
109,Florida,SEC (East),4,7,.364,3,5,.375,22.1,27.3,0.93,5.48,,17,17,
110,Vanderbilt,SEC (East),5,7,.417,1,7,.125,24.6,31.3,-2.32,2.10,,,,
111,Tennessee,SEC (East),4,8,.333,0,8,.000,19.8,29.1,-3.23,3.35,,25,23,
112,Alabama,SEC (West),11,1,.917,7,1,.875,39.1,11.5,18.95,2.62,1,1,1,
113,Auburn,SEC (West),10,3,.769,7,2,.778,34.4,17.3,18.49,5.49,6,12,6,
114,LSU,SEC (West),9,3,.750,6,2,.750,28.1,18.8,11.52,2.44,19,13,12,
115,Mississippi State,SEC (West),8,4,.667,4,4,.500,32.1,20.4,11.06,2.97,16,,16,
116,Texas A&M,SEC (West),7,5,.583,4,4,.500,31.1,28.7,3.08,2.16,,,,
117,Ole Miss,SEC (West),6,6,.500,3,5,.375,32.8,34.6,2.51,1.18,,,,
118,Arkansas,SEC (West),4,8,.333,1,7,.125,28.8,36.2,-2.84,3.91,,,,
119,Appalachian State,Sun Belt,8,4,.667,7,1,.875,33.4,21.9,-1.92,-8.92,,,,
120,Coastal Carolina,Sun Belt,3,9,.250,2,6,.250,23.7,34.0,-17.45,-9.04,,,,
121,Georgia Southern,Sun Belt,2,10,.167,2,6,.250,20.8,32.2,-17.20,-5.95,,,,
122,Troy,Sun Belt,11,2,.846,7,1,.875,31.5,18.5,3.53,-8.09,,,,
123,Arkansas State,Sun Belt,7,5,.583,6,2,.750,37.8,25.8,-2.42,-9.92,,,,
124,Georgia State,Sun Belt,7,5,.583,5,3,.625,20.3,24.8,-10.96,-9.55,,,,
125,New Mexico State,Sun Belt,6,6,.500,4,4,.500,29.6,30.5,-10.04,-9.04,,,,
126,Louisiana-Lafayette,Sun Belt,5,7,.417,4,4,.500,28.2,40.0,-15.96,-8.79,,,,
127,Louisiana-Monroe,Sun Belt,4,8,.333,4,4,.500,33.9,41.0,-11.12,-5.12,,,,
128,Idaho,Sun Belt,4,8,.333,3,5,.375,20.9,25.8,-11.56,-8.15,,,,
129,South Alabama,Sun Belt,4,8,.333,3,5,.375,19.8,26.5,-12.19,-6.94,,,,
130,Texas State,Sun Belt,2,10,.167,1,7,.125,17.3,33.6,-19.71,-7.71,,,,
